author,published,title,text,language,site_url,main_img_url,type,label,title_without_stopwords,text_without_stopwords,hasImage
Fed Up,2016-11-01T05:22:00.000+02:00,pin drop speech by father of daughter kidnapped and killed by isis i have voted for donald j trump  percentfedupcom,email kayla mueller was a prisoner and tortured by isis while no chance of releasea horrific story her father gave a pin drop speech that was so heartfelt you want to give him a hug carl mueller believes donald trump will be a great presidentepic speech k shares,english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/10/kayla.jpg,bias,Real,pin drop speech father daughter kidnapped killed isis voted donald j trump percentfedupcom,email kayla mueller prisoner tortured isis chance releasea horrific story father gave pin drop speech heartfelt want give hug carl mueller believes donald trump great presidentepic speech k shares,1
Fed Up,2016-11-01T21:56:00.000+02:00,fantastic trumps  point plan to reform healthcare begins with a bombshell  percentfedupcom,"email healthcare reform to make america great again 
since march of  the american people have had to suffer under the incredible economic burden of the affordable care actobamacare this legislation passed by totally partisan votes in the house and senate and signed into law by the most divisive and partisan president in american history has tragically but predictably resulted in runaway costs websites that dont work greater rationing of care higher premiums less competition and fewer choices obamacare has raised the economic uncertainty of every single person residing in this country as it appears obamacare is certain to collapse of its own weight the damage done by the democrats and president obama and abetted by the supreme court will be difficult to repair unless the next president and a republican congress lead the effort to bring muchneeded free market reforms to the healthcare industry 
congress must act our elected representatives in the house and senate must 
 completely repeal obamacare our elected representatives must eliminate the individual mandate no person should be required to buy insurance unless he or she wants to 
 modify existing law that inhibits the sale of health insurance across state lines as long as the plan purchased complies with state requirements any vendor ought to be able to offer insurance in any state by allowing full competition in this market insurance costs will go down and consumer satisfaction will go up 
 allow individuals to fully deduct health insurance premium payments from their tax returns under the current tax system businesses are allowed to take these deductions so why wouldnt congress allow individuals the same exemptions as we allow the free market to provide insurance coverage opportunities to companies and individuals we must also make sure that no one slips through the cracks simply because they cannot afford insurance we must review basic options for medicaid and work with states to ensure that those who want healthcare coverage can have it trending on  fed up",english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/11/obamacare-sites-404-970x0.jpg,bias,Real,fantastic trumps point plan reform healthcare begins bombshell percentfedupcom,email healthcare reform make america great since march american people suffer incredible economic burden affordable care actobamacare legislation passed totally partisan votes house senate signed law divisive partisan president american history tragically predictably resulted runaway costs websites dont work greater rationing care higher premiums less competition fewer choices obamacare raised economic uncertainty every single person residing country appears obamacare certain collapse weight damage done democrats president obama abetted supreme court difficult repair unless next president republican congress lead effort bring muchneeded free market reforms healthcare industry congress must act elected representatives house senate must completely repeal obamacare elected representatives must eliminate individual mandate person required buy insurance unless wants modify existing law inhibits sale health insurance across state lines long plan purchased complies state requirements vendor ought able offer insurance state allowing full competition market insurance costs go consumer satisfaction go allow individuals fully deduct health insurance premium payments tax returns current tax system businesses allowed take deductions wouldnt congress allow individuals exemptions allow free market provide insurance coverage opportunities companies individuals must also make sure one slips cracks simply cannot afford insurance must review basic options medicaid work states ensure want healthcare coverage trending fed,1
Fed Up,2016-11-04T19:40:00.000+02:00,breaking nypd ready to make arrests in weiner casehillary visited pedophile island at least  timesmoney laundering underage sex payforplayproof of inappropriate handling classified information  percentfedupcom,"breaking nypd ready to make arrests in weiner casehillary visited pedophile island at least  timesmoney laundering underage sex payforplayproof of inappropriate handling classified information blackwater usa founder retired navy seal erik prince 
prince claimed he had insider knowledge of the investigation that could help explain why fbi director james comey had to announce he was reopening the investigation into clintons email server last week 
because of weinergate and the sexting scandal the nypd started investigating it through a subpoena through a warrant they searched his laptop and sure enough found those  emails they found way more stuff than just more information pertaining to the inappropriate sexting the guy was doing prince claimed 
they found state department emails they found a lot of other really damning criminal information including money laundering including the fact that hillary went to this sex island with convicted pedophile jeffrey epstein bill clinton went there more than  times hillary clinton went there at least six times he said 
the amount of garbage that they found in these emails of criminal activity by hillary by her immediate circle and even by other democratic members of congress was so disgusting they gave it to the fbi and they said were going to go public with this if you dont reopen the investigation and you dont do the right thing with timely indictments prince explained 
i believe  i know and this is from a very wellplaced source of mine at pp one police plaza in new york  the nypd wanted to do a press conference announcing the warrants and the additional arrests they were making in this investigation and theyve gotten huge pushback to the point of coercion from the justice department with the justice department threatening to charge someone that had been unrelated in the accidental heart attack death of eric garner almost two years ago thats the level of pushback the obama justice department is doing against actually seeking justice in the email and other related criminal matters prince said 
theres five different parts of the fbi conducting investigations into these things with constant downdrafts from the obama justice department so in the i hope unlikely and very unfortunate event that hillary clinton is elected president we will have a constitutional crisis that we have not seen since i believe  prince declared 
marlow asked prince to clarify these revelations 
nypd was the first one to look at that laptop prince elaborated weiner and huma abedin his wife  the closest adviser of hillary clinton for  years  have both flipped they are cooperating with the government they both have  they see potential jail time of many years for their crimes for huma abedin sending and receiving and even storing hundreds of thousands of messages from the state department server and from hillary clintons own homebrew server which contained classified information weiner faces all kinds of exposure for the inappropriate sexting that was going on and for other information that they found 
so nypd first gets that computer they see how disgusting it is they keep a copy of everything and they pass a copy on to the fbi which finally pushes the fbi off their chairs making comey reopen that investigation which was indicated in the letter last week the point being nypd has all the information and they will pursue justice within their rights if the fbi doesnt prince contended 
there is all kinds of criminal culpability through all the emails theyve seen of that  including money laundering underage sex payforplay and of course plenty of proof of inappropriate handling sendingreceiving of classified information up to sap level special access programs he stated 
so the plot thickens nypd was pushing because as an article quoted one of the chiefs  thats the level just below commissioner  he said as a parent as a father with daughters he could not let that level of evil continue prince said 
he noted that the fbi can investigate these matters but they cant convene a grand jury they cant file charges 
the prosecutors the justice department has to do that he explained now as i understand it preet bharara the manhattan prosecutor has gotten ahold of some of this from what i hear hes a standup guy and hopefully he does the right thing 
marlow agreed that bhararas sterling reputation as a determined prosecutor was bad news for the clintons 
prince agreed but said if people are willing to bend or break the law and dont really care about the constitution or due process  if youre willing to use stalinist tactics against someone  who knows what level of pressure could be brought to bear against even the most tenacious law enforcement officials 
listen to interview here 
the point being fortunately its not just the fbi there are five different offices that are in the hunt for justice but the nypd has it as well prince said citing the wall street journal reporting that has exposed downdraft back pressure from the justice department against both the fbi and nypd in an effort to keep the sunlight and the disinfecting effects of the truth and transparency from shining on this great evil that has gone on and is slowly being exposed 
the justice department is trying to run out the clock to elect hillary clinton to prevent any real justice from being done he warned 
as for the mayor of new york city prince said he has heard that de blasio wants to stay away from this 
the evidence is so bad the email content is so bad that i think even he wants to stay away from it which is really telling he said 
for entire story breitbart news k shares",english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/11/hillary-looking-down.jpg,bias,Real,breaking nypd ready make arrests weiner casehillary visited pedophile island least timesmoney laundering underage sex payforplayproof inappropriate handling classified information percentfedupcom,breaking nypd ready make arrests weiner casehillary visited pedophile island least timesmoney laundering underage sex payforplayproof inappropriate handling classified information blackwater usa founder retired navy seal erik prince prince claimed insider knowledge investigation could help explain fbi director james comey announce reopening investigation clintons email server last week weinergate sexting scandal nypd started investigating subpoena warrant searched laptop sure enough found emails found way stuff information pertaining inappropriate sexting guy prince claimed found state department emails found lot really damning criminal information including money laundering including fact hillary went sex island convicted pedophile jeffrey epstein bill clinton went times hillary clinton went least six times said amount garbage found emails criminal activity hillary immediate circle even democratic members congress disgusting gave fbi said going go public dont reopen investigation dont right thing timely indictments prince explained believe know wellplaced source mine pp one police plaza new york nypd wanted press conference announcing warrants additional arrests making investigation theyve gotten huge pushback point coercion justice department justice department threatening charge someone unrelated accidental heart attack death eric garner almost two years ago thats level pushback obama justice department actually seeking justice email related criminal matters prince said theres five different parts fbi conducting investigations things constant downdrafts obama justice department hope unlikely unfortunate event hillary clinton elected president constitutional crisis seen since believe prince declared marlow asked prince clarify revelations nypd first one look laptop prince elaborated weiner huma abedin wife closest adviser hillary clinton years flipped cooperating government see potential jail time many years crimes huma abedin sending receiving even storing hundreds thousands messages state department server hillary clintons homebrew server contained classified information weiner faces kinds exposure inappropriate sexting going information found nypd first gets computer see disgusting keep copy everything pass copy fbi finally pushes fbi chairs making comey reopen investigation indicated letter last week point nypd information pursue justice within rights fbi doesnt prince contended kinds criminal culpability emails theyve seen including money laundering underage sex payforplay course plenty proof inappropriate handling sendingreceiving classified information sap level special access programs stated plot thickens nypd pushing article quoted one chiefs thats level commissioner said parent father daughters could let level evil continue prince said noted fbi investigate matters cant convene grand jury cant file charges prosecutors justice department explained understand preet bharara manhattan prosecutor gotten ahold hear hes standup guy hopefully right thing marlow agreed bhararas sterling reputation determined prosecutor bad news clintons prince agreed said people willing bend break law dont really care constitution due process youre willing use stalinist tactics someone knows level pressure could brought bear even tenacious law enforcement officials listen interview point fortunately fbi five different offices hunt justice nypd well prince said citing wall street journal reporting exposed downdraft back pressure justice department fbi nypd effort keep sunlight disinfecting effects truth transparency shining great evil gone slowly exposed justice department trying run clock elect hillary clinton prevent real justice done warned mayor new york city prince said heard de blasio wants stay away evidence bad email content bad think even wants stay away really telling said entire story breitbart news k shares,1
Fed Up,2016-11-05T01:19:00.000+02:00,wow whistleblower tells chilling story of massive voter fraud trump campaign readies lawsuit against fl sec of elections in critical district video  percentfedupcom,"breaking nypd ready to make arrests in weiner casehillary visited pedophile island at least  timesmoney laundering underage sex payforplayproof of inappropriate handling classified information 
the amazing citizen journalist mike cernovich broke this story this morning at danger and play  florida residents have been complaining that theyre not getting their absentee ballots chelsey marie smith was working fulltime at broward county supervisor of elections main office blew the whistle on the voter fraud scheme live on periscope  breaking news voting fraud uncovered in florida magax httpstcoqjeezrgh 
 mike cernovich  cernovich november   
the florida state attorney is actively investigating the fraud case that involves secretary of elections brenda snipes source fl state attorney investigators are actively reviewing broward county voter fraud case 
 jack posobiec  jackposobiec november   

democrat dr brenda snipes was appointed by jeb bush in  and is no stranger to controversy on october  the sun sentinal reported that former oakland park commissioner anne sallee noticed something troubling about her votebymail ballot it is missing constitutional amendment  the medical marijuana question 
sallee now broward chapter director of the florida restaurant and lodging association knows her way around government yet she said she spent a week unsuccessfully trying to get someone at the broward elections office to pay attention to her complaint 
she was cleared on wednesday of another election snafu the early posting of primary election results her office also was criticized for sending out inaccurate voter id cards and for printing ballots for november that include the word no in the yes line on the countys transportation sales surtax question 
there were multiple reports that hillary personally met with brenda snipes days ago there were multiple reports hillary personally met with brenda snipes days ago no photos but where theres smoke 
 jack posobiec  jackposobiec november   
according to a former secretary of elections department employee there is a secret room where democrat insiders fill out those absentee ballots 
the woman provided her sworn testimony via affidavit 
the affidavit by chelsey marie smith accuses broward county officials of filling out blank absentee ballots to officials who she saw filling the ballots out at the supervisor of elections headquarters via gp page ",english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/11/snipes-dem.jpg,bias,Real,wow whistleblower tells chilling story massive voter fraud trump campaign readies lawsuit fl sec elections critical district video percentfedupcom,breaking nypd ready make arrests weiner casehillary visited pedophile island least timesmoney laundering underage sex payforplayproof inappropriate handling classified information amazing citizen journalist mike cernovich broke story morning danger play florida residents complaining theyre getting absentee ballots chelsey marie smith working fulltime broward county supervisor elections main office blew whistle voter fraud scheme live periscope breaking news voting fraud uncovered florida magax httpstcoqjeezrgh mike cernovich cernovich november florida state attorney actively investigating fraud case involves secretary elections brenda snipes source fl state attorney investigators actively reviewing broward county voter fraud case jack posobiec jackposobiec november democrat dr brenda snipes appointed jeb bush stranger controversy october sun sentinal reported former oakland park commissioner anne sallee noticed something troubling votebymail ballot missing constitutional amendment medical marijuana question sallee broward chapter director florida restaurant lodging association knows way around government yet said spent week unsuccessfully trying get someone broward elections office pay attention complaint cleared wednesday another election snafu early posting primary election results office also criticized sending inaccurate voter id cards printing ballots november include word yes line countys transportation sales surtax question multiple reports hillary personally met brenda snipes days ago multiple reports hillary personally met brenda snipes days ago photos theres smoke jack posobiec jackposobiec november according former secretary elections department employee secret room democrat insiders fill absentee ballots woman provided sworn testimony via affidavit affidavit chelsey marie smith accuses broward county officials filling blank absentee ballots officials saw filling ballots supervisor elections headquarters via gp page,1
Fed Up,2016-11-06T23:54:00.000+02:00,breaking clinton clearedwas this a coordinated last minute trick to energize hillarys base  percentfedupcom,"limbaugh said that the revelations in the wikileaks material were starting to hurt the clintons and that the renewed interest in an fbi investigation into her private email server would be a fruitless distraction 
in any case 
its time to drain the swamp 
fbi director james comey said sunday that the agency has reviewed all of the hillary clinton emails recently discovered in an unrelated case and that his conclusion in july not to prosecute clinton after the fbis original investigation into her use of private email server still stands 
comey informed congress on oct  that the agency would in the unrelated case review additional emails related to clintons time running the state department from  to  
since my letter the fbi investigative team has been working around the clock to process and review a large volume of emails comey said sunday in a followup letter to congress during that time we reviewed all of the communications that were to or from hilary clinton as secretary of state based on our review we have not changed our conclusion 
the new case is purportedly related to exnew york democratic rep anthony weiner using a laptop he shared with estranged wife and top clinton aide huma abedin for sexting an apparently underage female",english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/05/hillary-comey.jpg,bias,Real,breaking clinton clearedwas coordinated last minute trick energize hillarys base percentfedupcom,limbaugh said revelations wikileaks material starting hurt clintons renewed interest fbi investigation private email server would fruitless distraction case time drain swamp fbi director james comey said sunday agency reviewed hillary clinton emails recently discovered unrelated case conclusion july prosecute clinton fbis original investigation use private email server still stands comey informed congress oct agency would unrelated case review additional emails related clintons time running state department since letter fbi investigative team working around clock process review large volume emails comey said sunday followup letter congress time reviewed communications hilary clinton secretary state based review changed conclusion new case purportedly related exnew york democratic rep anthony weiner using laptop shared estranged wife top clinton aide huma abedin sexting apparently underage female,1
Fed Up,2016-11-07T02:43:00.000+02:00,evil hillary supporters yell fck trumpburn truck of daddy fishing with  yr son over of trump bumperstickers video  percentfedupcom,"email 
these people are sick and evil they will stop at nothing to get their way laws mean nothing to them because they mean nothing to their president and his regime 
a california man says a stranger hurled expletives and set his truck on fire thursday after seeing a prodonald trump sticker on the bumper 
hao lee had taken his yearold son fishing on a pleasant november afternoon in sacramento he parked his white dodge ram truck with a pair of trump stickers on the bumper along garden highway 
about a couple hours into fishing i heard someone yelling out f trump lee told ktxl 
lee and his son were only about  yards from where his truck was parked near the edge of the river trending on  fed up",english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/11/TRUCK-TORCHED-HILLARY.jpg,bias,Real,evil hillary supporters yell fck trumpburn truck daddy fishing yr son trump bumperstickers video percentfedupcom,email people sick evil stop nothing get way laws mean nothing mean nothing president regime california man says stranger hurled expletives set truck fire thursday seeing prodonald trump sticker bumper hao lee taken yearold son fishing pleasant november afternoon sacramento parked white dodge ram truck pair trump stickers bumper along garden highway couple hours fishing heard someone yelling f trump lee told ktxl lee son yards truck parked near edge river trending fed,1
Fed Up,2016-11-09T17:28:00.000+02:00,say goodbye these  hollywood celebs threatened to leave the uslets hold them to it  percentfedupcom,"students expressed their fear over a trump presidency in messages to each other that were being shared on twitter today literally scared for their lives is the new literally hitler notmypresident pictwittercomckfqdfce 
 paul joseph watson prisonplanet november   
and finally this ridiculous and totally biased email was sent from university of michigan president to the students offering them assistance to help them through the results of our presidential election last night the president wants to ensure the students that the university remains committed to their most important responsibility at their school which is apparently to remain committed to education discovery and intellectual honesty  and to diversity equity and inclusion 
to all members of the university community 
as im sure many of you did i watched the election coverage late into the night and had the opportunity to visit with students and staff at a resultswatching event sponsored by the ginsberg center at the michigan union it will take quite some time to completely absorb the results from yesterdays election understand the full implications and discern the longterm impact on our university and our nation  more immediately in the aftermath of a close and highly contentious election we continue to embrace our most important responsibility as a university community our responsibility is to remain committed to education discovery and intellectual honesty  and to diversity equity and inclusion we are at our best when we come together to engage respectfully across our ideological differences to support all who feel marginalized threatened or unwelcome and to pursue knowledge and understanding as we always have as the students faculty and staff of the university of michigan there are reports of members of our community offering support to one another students are planning a vigil tonight on the diag at  pm our center for research on teaching and learning also has numerous resources available for faculty seeking help in cultivating classroom environments that are responsive to national issues i also want to make everyone aware of some of the plans and events we have had in place for today and beyond  our gerald r ford school of public policy is holding a postelection analysis from  to  pm today in the weill halls annenberg auditorium speakers include former us congressman john dingell former ambassador ron weiser and faculty members mara ostfeld betsey stevenson and marina whitman  our history department has organized a community discussion led by faculty and students to include historical perspectives at  pm tonight in  tisch hall  the office of student life will provide resources and referrals for support on campus to students faculty and staff at a location in the michigan unions willis ward lounge it will be open today from  am to  pm  our office of multiethnic student affairs is offering an open space of support to help members of our community connect during open hours today mesas office is in the michigan union room   tomorrow our ginsberg center and counseling and psychological services office is facilitating a postelection dialogue impact perspectivetaking and moving forward this event is part of the student life professional development conference at    pm in the michigan leagues henderson room i know that other schools colleges and offices across our campus are planning events as well i thank everyone who is helping us come together and ask anyone scheduling a post election event post it on the university of michigan events calendar i hope all of us will continue to proudly embrace the opportunities before us as the students faculty and staff of a great public research university governed by the people elections are often times of great change but the values we stand for at um have been shaped over the course of nearly  years our mission remains as essential for society as ever to serve the people of michigan and the world through preeminence in creating communicating preserving and applying knowledge art and academic values and in developing leaders and citizens who will challenge the present and enrich the future i look forward to working together with all of you to advance the work we do in service of the public  and to ensure that the university of michigan will always be a welcoming place for all members of society sincerely 
mark schlissel president",english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/11/moving.jpg,bias,Real,say goodbye hollywood celebs threatened leave uslets hold percentfedupcom,students expressed fear trump presidency messages shared twitter today literally scared lives new literally hitler notmypresident pictwittercomckfqdfce paul joseph watson prisonplanet november finally ridiculous totally biased email sent university michigan president students offering assistance help results presidential election last night president wants ensure students university remains committed important responsibility school apparently remain committed education discovery intellectual honesty diversity equity inclusion members university community im sure many watched election coverage late night opportunity visit students staff resultswatching event sponsored ginsberg center michigan union take quite time completely absorb results yesterdays election understand full implications discern longterm impact university nation immediately aftermath close highly contentious election continue embrace important responsibility university community responsibility remain committed education discovery intellectual honesty diversity equity inclusion best come together engage respectfully across ideological differences support feel marginalized threatened unwelcome pursue knowledge understanding always students faculty staff university michigan reports members community offering support one another students planning vigil tonight diag pm center research teaching learning also numerous resources available faculty seeking help cultivating classroom environments responsive national issues also want make everyone aware plans events place today beyond gerald r ford school public policy holding postelection analysis pm today weill halls annenberg auditorium speakers include former us congressman john dingell former ambassador ron weiser faculty members mara ostfeld betsey stevenson marina whitman history department organized community discussion led faculty students include historical perspectives pm tonight tisch hall office student life provide resources referrals support campus students faculty staff location michigan unions willis ward lounge open today pm office multiethnic student affairs offering open space support help members community connect open hours today mesas office michigan union room tomorrow ginsberg center counseling psychological services office facilitating postelection dialogue impact perspectivetaking moving forward event part student life professional development conference pm michigan leagues henderson room know schools colleges offices across campus planning events well thank everyone helping us come together ask anyone scheduling post election event post university michigan events calendar hope us continue proudly embrace opportunities us students faculty staff great public research university governed people elections often times great change values stand um shaped course nearly years mission remains essential society ever serve people michigan world preeminence creating communicating preserving applying knowledge art academic values developing leaders citizens challenge present enrich future look forward working together advance work service public ensure university michigan always welcoming place members society sincerely mark schlissel president,1
Fed Up,2016-11-10T15:38:00.000+02:00,boom math shows trump would have beaten obama in romneyobama election  percentfedupcom,copyright   percentfedupcom in association with liberty alliance  all rights reserved proudly built by wpdevelopers  stay in the loop sign up for our email newsletter to become a  fed up insider subscribe,english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/11/us-election-map.jpg,bias,Real,boom math shows trump would beaten obama romneyobama election percentfedupcom,copyright percentfedupcom association liberty alliance rights reserved proudly built wpdevelopers stay loop sign email newsletter become fed insider subscribe,1
Fed Up,2016-11-11T15:13:00.000+02:00,boom this is how president reagan handled protesters negotiate what is there to negotiate video  percentfedupcom,go to article a trump supporter wearing a trumppence tshirt let it fly on a reporter from msnbc because of his one sided reporting and the demonizing of trump this is one brave woman new yorkers have had enough of the protests and violence  calmsnbc is having an interesting day pictwittercomemelmqamau,english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/11/reagan.jpg,bias,Real,boom president reagan handled protesters negotiate negotiate video percentfedupcom,go article trump supporter wearing trumppence tshirt let fly reporter msnbc one sided reporting demonizing trump one brave woman new yorkers enough protests violence calmsnbc interesting day pictwittercomemelmqamau,1
Fed Up,2016-11-10T08:41:00.000+02:00,tomi lahren has special message for celebrities who said theyd move to canada if trump won video  percentfedupcom,"go to article donald trump was willing to give up a very fulfilling life that took decades to build so he could step up and take control of an out of control government he and his family have already sacrificed so much because he chose to put his country first making sacrifices is certainly not something loudmouth liberals like robert deniro are accustomed to deniro was very vocal about his opposition to the wildly successful business man donald j trump he felt so strongly about his hate for trump that made a video where he angrily stated hed like to punch him in the face now that trump won the election in a landslide deniro has chosen to get behind the trump rioters who are terrorizing cities across america antitrump rioters are breaking windows using baseball bats to smash the windshields of innocent citizens who get trapped in their hellish protests as they try to escape women who are taking part in the protests are being punched in the faces by men who are also taking part in the george soros funded protests american flags are being burned and families who are walking in major cities are being subjected to the most vile and disgusting hateful language and images imaginable if this is the kind of america that robert dinero is openly supporting and if so why would any american pay to see his moviecomedian 
robert de niro gave antidonald trump protesters across the united states his backing friday as he spoke about how depressed the tycoons win in the presidential election had made him 
the yearold star was on the red carpet at the world premiere of his new film the comedian in los angeles when he was asked how he was coping with trumps victory over democratic rival hillary clinton 
how am i doing im very depressed the famously laconic raging bull actor told reporters 
we have to just wait and see how things go and keep our eyes ever vigilant on the new government 
asked if he thought the protests were an appropriate response to the outcome of tuesdays election he replied yes absolutely things arent being done right 
demonstrators took to the streets in miami los angeles new york and other us cities for a third straight night on friday 
in manhattan they held signs reading your wall cant stand in our way  a reference to the antiimmigration barrier the billionaire has promised to build on the us border with mexico 
de niro hasnt minced his words in his criticism of trump describing him as a punk a pig and an idiot 
id like to punch him in the face he said before the election 
earlier in the day a town in southern italy where de niros grandparents came from offered the actor a means of escape 
if after the disappointment of trump he wants to take refuge here we are ready to welcome him said antonio cerio the mayor of ferrazzano 
the comedian de niros passion project which took him eight years to bring to the big screen was part of this years program for the american film institutes annual afi fest in los angeles  yahoo 
heres a clip of trumphater megyn kelly promoting dineros hateful rant against donald j trump",english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/11/Tomi.jpg,bias,Real,tomi lahren special message celebrities said theyd move canada trump video percentfedupcom,go article donald trump willing give fulfilling life took decades build could step take control control government family already sacrificed much chose put country first making sacrifices certainly something loudmouth liberals like robert deniro accustomed deniro vocal opposition wildly successful business man donald j trump felt strongly hate trump made video angrily stated hed like punch face trump election landslide deniro chosen get behind trump rioters terrorizing cities across america antitrump rioters breaking windows using baseball bats smash windshields innocent citizens get trapped hellish protests try escape women taking part protests punched faces men also taking part george soros funded protests american flags burned families walking major cities subjected vile disgusting hateful language images imaginable kind america robert dinero openly supporting would american pay see moviecomedian robert de niro gave antidonald trump protesters across united states backing friday spoke depressed tycoons win presidential election made yearold star red carpet world premiere new film comedian los angeles asked coping trumps victory democratic rival hillary clinton im depressed famously laconic raging bull actor told reporters wait see things go keep eyes ever vigilant new government asked thought protests appropriate response outcome tuesdays election replied yes absolutely things arent done right demonstrators took streets miami los angeles new york us cities third straight night friday manhattan held signs reading wall cant stand way reference antiimmigration barrier billionaire promised build us border mexico de niro hasnt minced words criticism trump describing punk pig idiot id like punch face said election earlier day town southern italy de niros grandparents came offered actor means escape disappointment trump wants take refuge ready welcome said antonio cerio mayor ferrazzano comedian de niros passion project took eight years bring big screen part years program american film institutes annual afi fest los angeles yahoo heres clip trumphater megyn kelly promoting dineros hateful rant donald j trump,1
